iter	RMSE
0	0.3966178034
1	0.3941852567
2	0.3916838172
3	0.3891226522
4	0.3866803866
5	0.3841811531
6	0.3819761353
7	0.3796414762
8	0.3770022945
9	0.3746695602
10	0.3723851722
11	0.3700102859
12	0.3677921721
13	0.3654626404
14	0.3632507979
15	0.3608431929
16	0.3587172992
17	0.3563574803
18	0.3541816347
19	0.3520924991
20	0.3500182064
21	0.3477644098
22	0.3456070059
23	0.3433638923
24	0.3411329075
25	0.3390526563
26	0.337362332
27	0.3353181957
28	0.3335106725
29	0.3316801332
30	0.3297764645
31	0.3280791574
32	0.3261719438
33	0.3241842185
34	0.3224413987
35	0.3204051718
36	0.3186185163
37	0.316964866
38	0.3150401483
39	0.3131220145
40	0.3114411125
41	0.309509783
42	0.3077688069
43	0.3059278949
44	0.3043299127
45	0.3024318776
46	0.300900994
47	0.2991314181
48	0.2975670611
49	0.29597556
50	0.2944739249
51	0.2929867626
52	0.2915947833
53	0.2898688277
54	0.2883322376
55	0.2867395338
56	0.2849779543
57	0.2834677409
58	0.2819835251
59	0.2805995085
60	0.2792886231
61	0.2779573039
62	0.2765295835
63	0.2750862905
64	0.273903387
65	0.2723831137
66	0.2712210891
67	0.2700097717
68	0.2687050009
69	0.2673428887
70	0.2660006822
71	0.2645679452
72	0.2632422721
73	0.2618204127
74	0.260409881
75	0.2592254893
76	0.258004066
77	0.2565990341
78	0.2553117427
79	0.2541612054
80	0.2530437568
81	0.2516863009
82	0.2506200924
83	0.2494166923
84	0.2482842423
85	0.247163971
86	0.2460025301
87	0.2447639215
88	0.2434850652
89	0.2422044519
90	0.2410862781
91	0.2399516202
92	0.2389959461
93	0.2377583674
94	0.2366340017
95	0.2354704751
96	0.2344074298
97	0.2332800192
98	0.2323809559
99	0.2314066101
100	0.2303585406
101	0.2293610698
102	0.2284158087
103	0.22735025
104	0.2264784806
105	0.2256033776
106	0.2245913516
107	0.2236095425
108	0.2226643705
109	0.221794104
110	0.2208760663
111	0.2198839748
112	0.2190635951
113	0.2181961879
114	0.2173082473
115	0.2163653669
116	0.2155371052
117	0.2146086542
118	0.2137583557
119	0.2129937675
120	0.2121786537
121	0.2112992641
122	0.2104975371
123	0.2096865235
124	0.2088844181
125	0.2080629511
126	0.2071942519
127	0.2064094529
128	0.2056164462
129	0.20483945
