iter	Passed	Remaining
0	1	5811
1	3	6938
2	5	6966
3	6	7203
4	8	7177
5	10	7236
6	12	7212
7	13	7161
8	15	7216
9	17	7191
10	19	7256
11	20	7229
12	22	7249
13	24	7216
14	26	7204
15	28	7234
16	29	7209
17	31	7238
18	33	7220
19	35	7299
20	37	7311
21	39	7335
22	40	7336
23	42	7321
24	44	7334
25	46	7311
26	48	7335
27	49	7305
28	51	7314
29	53	7311
30	55	7306
31	56	7294
32	58	7260
33	59	7253
34	61	7234
35	63	7236
36	65	7231
37	66	7220
38	68	7260
39	70	7247
40	72	7248
41	73	7228
42	76	7264
43	77	7256
44	79	7258
45	81	7253
46	83	7244
47	84	7257
48	86	7233
49	88	7240
50	89	7228
51	91	7242
52	93	7232
53	95	7216
54	96	7216
55	98	7198
56	100	7194
57	101	7177
58	103	7174
59	105	7171
60	106	7153
61	108	7159
62	110	7154
63	112	7157
64	113	7151
65	115	7147
66	117	7134
67	118	7118
68	120	7121
69	122	7109
70	123	7107
71	125	7107
72	127	7094
73	128	7101
74	130	7087
75	132	7099
76	134	7087
77	135	7078
78	137	7074
79	138	7061
80	140	7068
81	142	7060
82	144	7061
83	145	7054
84	147	7040
85	149	7043
86	150	7029
87	152	7034
88	154	7027
89	155	7023
90	157	7023
91	158	7009
92	160	7011
93	162	7001
94	164	7007
95	165	7002
96	167	6990
97	169	6988
98	170	6978
99	172	6981
100	174	6973
101	175	6965
102	177	6970
103	178	6959
104	180	6965
105	182	6962
106	184	6965
107	186	6960
108	187	6954
109	189	6962
110	191	6952
111	192	6952
112	194	6944
113	196	6940
114	197	6943
115	199	6934
116	201	6936
117	202	6931
118	204	6931
119	206	6934
120	208	6938
121	210	6940
122	211	6932
123	213	6932
124	215	6923
125	216	6927
126	218	6921
127	220	6913
128	221	6914
129	223	6905
130	225	6903
131	226	6898
132	228	6892
133	229	6890
134	231	6885
135	233	6884
136	234	6875
137	236	6870
138	238	6872
139	239	6864
140	241	6864
141	243	6857
142	244	6853
143	246	6859
144	248	6851
145	249	6850
146	251	6842
147	253	6840
148	254	6833
149	255	6824
150	257	6825
151	259	6820
152	261	6816
153	262	6812
154	264	6804
155	265	6805
156	267	6798
157	268	6793
158	270	6793
159	272	6784
160	273	6783
161	275	6776
162	276	6772
163	278	6778
164	280	6769
165	282	6769
166	283	6764
167	285	6762
168	287	6759
169	288	6750
170	290	6751
171	291	6746
172	293	6746
173	295	6740
174	296	6733
175	298	6734
176	299	6728
177	301	6727
178	303	6724
179	304	6720
180	306	6720
181	308	6718
182	310	6720
183	311	6718
184	313	6718
185	315	6715
186	316	6710
187	318	6708
188	319	6702
189	321	6697
190	323	6694
191	324	6690
192	326	6695
193	328	6695
194	330	6698
195	331	6694
196	333	6692
197	335	6691
198	336	6686
199	338	6686
200	340	6680
201	341	6679
202	343	6680
203	345	6674
204	346	6674
205	348	6667
206	350	6666
207	351	6662
208	353	6655
209	354	6654
210	356	6650
211	358	6650
212	359	6646
213	361	6639
214	362	6638
215	364	6632
216	365	6628
217	367	6625
218	368	6619
219	370	6619
220	372	6614
221	373	6610
222	375	6608
223	376	6602
224	378	6605
225	380	6602
226	382	6601
227	383	6599
228	385	6594
229	386	6593
230	388	6589
231	390	6590
232	392	6588
233	393	6586
234	395	6585
235	397	6582
236	398	6584
237	400	6580
238	402	6578
239	403	6579
240	405	6576
241	407	6575
242	408	6570
243	410	6568
244	412	6569
245	413	6563
246	415	6564
247	416	6558
248	418	6557
249	420	6554
250	421	6550
251	423	6549
252	424	6544
253	426	6542
254	428	6538
255	429	6533
256	431	6534
257	433	6531
258	434	6533
259	436	6529
260	438	6527
261	439	6526
262	441	6523
263	443	6524
264	444	6521
265	446	6517
266	448	6515
267	449	6510
268	451	6508
269	452	6503
270	454	6498
271	455	6497
